25.0781760,-77.3434410
25.0781760,-77.3434400
25.0781410,-77.3431340
25.0780880,-77.3426680
25.0780490,-77.3421110
25.0780300,-77.3418310
25.0779790,-77.3408960
25.0779710,-77.3407360
25.0779680,-77.3405630
25.0779690,-77.3405380
25.0779640,-77.3403120
25.0779620,-77.3402030
25.0779680,-77.3397440
25.0780140,-77.3385590
25.0780080,-77.3377840
25.0779470,-77.3371190
25.0779350,-77.3369960
25.0778500,-77.3362910
25.0778470,-77.3362710
25.0776650,-77.3355970
25.0775730,-77.3352180
25.0774260,-77.3346290
25.0772180,-77.3337760
25.0770090,-77.3329470
25.0768860,-77.3324570
25.0768590,-77.3323560
25.0768350,-77.3322600
25.0767480,-77.3319260
25.0766570,-77.3315740
25.0766100,-77.3314020
25.0765250,-77.3310930
25.0758580,-77.3311820
25.0757050,-77.3302200
25.0755690,-77.3292700
25.0755200,-77.3290180
25.0754670,-77.3287760
25.0752650,-77.3281750
25.0750970,-77.3275270
25.0750810,-77.3274360
25.0750310,-77.3271130
25.0750470,-77.3269090
25.0750700,-77.3268450
25.0752180,-77.3266410
25.0752380,-77.3265560
25.0752260,-77.3264350
25.0751320,-77.3261440
25.0751720,-77.3261380
25.0753480,-77.3266310
25.0751720,-77.3261380
25.0751310,-77.3259770
25.0751230,-77.3258740
25.0751190,-77.3258350
25.0751640,-77.3254740
25.0750630,-77.3254260
25.0749740,-77.3253280
25.0747600,-77.3239520
25.0750720,-77.3239520
25.0754250,-77.3239180
25.0750720,-77.3239520
25.0747600,-77.3239520
25.0746570,-77.3232310
25.0745110,-77.3222840
25.0744550,-77.3218470
25.0744050,-77.3215450
25.0743840,-77.3214020
25.0745710,-77.3213430
25.0746160,-77.3212870
25.0746330,-77.3212510
25.0746110,-77.3209930
25.0749420,-77.3209060
25.0748330,-77.3203810
25.0749420,-77.3209060
25.0750610,-77.3208850
25.0751550,-77.3209140
25.0751890,-77.3209510
25.0751710,-77.3208500
25.0750690,-77.3202490
25.0748920,-77.3191850
25.0748470,-77.3191140
25.0747880,-77.3190600
25.0746690,-77.3190180
25.0745990,-77.3189740
25.0745360,-77.3189130
25.0744670,-77.3187890
25.0744490,-77.3186350
25.0744390,-77.3185440
25.0743630,-77.3178960
25.0743310,-77.3176010
25.0742540,-77.3165790
25.0742460,-77.3164880
25.0742000,-77.3159480
25.0741850,-77.3157960
25.0741610,-77.3155650
25.0741620,-77.3153880
25.0741700,-77.3150880
25.0741740,-77.3149830
25.0741840,-77.3144270
25.0741760,-77.3142280
25.0741640,-77.3139630
25.0741350,-77.3135930
25.0741290,-77.3135150
25.0742260,-77.3135100
25.0742170,-77.3133990
